fhfa_cbsa,period,hpi_all_transactions_nsa
10580,2025Q2,331.03
10580,2025Q3,338.03
10580,2025Q4,339.11
10580,2026Q1,343.41
10740,1977Q2,36.74
10740,1977Q3,36.95
10740,1977Q4,39.33
10740,1978Q1,39.16
10740,1978Q2,42.28
10740,1978Q3,44.14
10740,1978Q4,45.66
10740,1979Q1,47.2
10740,1979Q2,49.37
10740,1979Q3,49.94
10740,1979Q4,50.69
10740,1980Q1,53.12
10740,1980Q2,53.59
10740,1980Q3,54.46
10740,1980Q4,56.22
10740,1981Q1,54.69
10740,1981Q2,58.27
10740,1981Q3,57.67
10740,1981Q4,57.48
10740,1982Q1,47.81
10740,1982Q2,53.62
10740,1982Q3,61.7
10740,1982Q4,60.68
10740,1983Q1,59.94
10740,1983Q2,62.25
10740,1983Q3,64.74
10740,1983Q4,65.96
10740,1984Q1,66.92
10740,1984Q2,63.95
10740,1984Q3,67.26
10740,1984Q4,68.75
10740,1985Q1,68.49
10740,1985Q2,69.67
10740,1985Q3,70.88
10740,1985Q4,70.03
10740,1986Q1,71.78
10740,1986Q2,72.54
10740,1986Q3,73.03
10740,1986Q4,74.15
10740,1987Q1,75.41
10740,1987Q2,75.38
10740,1987Q3,75.63
10740,1987Q4,74.94
10740,1988Q1,75.39
10740,1988Q2,75.81
10740,1988Q3,75.31
10740,1988Q4,74.63
10740,1989Q1,75.6
10740,1989Q2,75.48
10740,1989Q3,76.67
10740,1989Q4,76.4
10740,1990Q1,75.3
10740,1990Q2,75.57
10740,1990Q3,76.11
10740,1990Q4,75.62
10740,1991Q1,75.9
10740,1991Q2,76.65
10740,1991Q3,77.24
10740,1991Q4,78.01
10740,1992Q1,79.77
10740,1992Q2,80.59
10740,1992Q3,81.12
10740,1992Q4,82.19
10740,1993Q1,83.23
10740,1993Q2,85.39
10740,1993Q3,87.14
10740,1993Q4,89.19
10740,1994Q1,91.62
10740,1994Q2,95.25
10740,1994Q3,98.05
10740,1994Q4,98.92
10740,1995Q1,100
10740,1995Q2,102.38
10740,1995Q3,104.2
10740,1995Q4,105.13
10740,1996Q1,105.84
10740,1996Q2,105.41
10740,1996Q3,105.44
10740,1996Q4,106.13
10740,1997Q1,106.52
10740,1997Q2,106.69
10740,1997Q3,107.28
10740,1997Q4,108.73
10740,1998Q1,109.3
10740,1998Q2,108.89
10740,1998Q3,109.32
10740,1998Q4,110.08
10740,1999Q1,109.58
10740,1999Q2,109.35
10740,1999Q3,109.01
10740,1999Q4,109.01
10740,2000Q1,109.51
10740,2000Q2,109.21
10740,2000Q3,110.17
10740,2000Q4,110.71
10740,2001Q1,113.15
10740,2001Q2,114.12
10740,2001Q3,114.6
10740,2001Q4,115.51
10740,2002Q1,115.86
10740,2002Q2,116.93
10740,2002Q3,118.45
10740,2002Q4,119.23
10740,2003Q1,120.42
10740,2003Q2,121.67
10740,2003Q3,122.58
10740,2003Q4,125
10740,2004Q1,126.48
10740,2004Q2,128.81
10740,2004Q3,132.2
10740,2004Q4,134.44
10740,2005Q1,137.06
10740,2005Q2,144.13
10740,2005Q3,150.2
10740,2005Q4,154.99
10740,2006Q1,160.69
10740,2006Q2,167.15
10740,2006Q3,173.03
10740,2006Q4,176.47
10740,2007Q1,178.78
10740,2007Q2,180.5
10740,2007Q3,180.88
10740,2007Q4,181.18
10740,2008Q1,181.57
10740,2008Q2,179.01
10740,2008Q3,174.84
10740,2008Q4,173.83
10740,2009Q1,174.96
10740,2009Q2,168.59
10740,2009Q3,164.58
10740,2009Q4,164.09
10740,2010Q1,163.55
10740,2010Q2,160.91
10740,2010Q3,161.56
10740,2010Q4,160.27
10740,2011Q1,155.62
10740,2011Q2,151.8
10740,2011Q3,152.93
10740,2011Q4,153.67
10740,2012Q1,150.96
10740,2012Q2,149.89
10740,2012Q3,151.7
