zillow_region_id,fhfa_cbsa,period,zori_usd_month
394314,10780,2023-07,1019.9950451666489
394314,10780,2023-08,1036.7369838591542
394314,10780,2023-09,1037.892028008145
394314,10780,2023-10,1026.6812090871854
394314,10780,2023-11,1011.9056876474839
394314,10780,2023-12,1020.9776107793223
394314,10780,2024-01,1022.7843538236093
394314,10780,2024-02,1030.8728739623452
394314,10780,2024-03,1041.6603654274047
394314,10780,2024-04,1042.3481937716808
394314,10780,2024-05,1052.5908109801117
394314,10780,2024-06,1045.5315119627744
394314,10780,2024-07,1060.0832361073603
394314,10780,2024-08,1056.3668403469626
394314,10780,2024-09,1058.2104220858598
394314,10780,2024-10,1051.63922169672
394314,10780,2024-11,1050.7549532065527
394314,10780,2024-12,1047.6173366554028
394314,10780,2025-01,1043.9672911537334
394314,10780,2025-02,1071.548542846976
394314,10780,2025-03,1085.3598573506765
394314,10780,2025-04,1107.7840591012525
394314,10780,2025-05,1092.798758780182
394314,10780,2025-06,1109.495457151439
394314,10780,2025-07,1106.8313151826794
394314,10780,2025-08,1114.6331527708164
394314,10780,2025-09,1101.6061283130193
394314,10780,2025-10,1098.9129245417146
394314,10780,2025-11,1095.6238966943265
394314,10780,2025-12,1100.9574447974503
394314,10780,2026-01,1110.7858159478578
394314,10780,2026-02,1116.25261330898
394314,10780,2026-03,1109.0958107789704
394314,10780,2026-04,1107.9941540949953
394314,10780,2026-05,1111.145423836661
394314,10780,2026-06,1127.5092592592591
394318,10900,2015-01,1041.6984721020037
394318,10900,2015-02,1044.764719019461
394318,10900,2015-03,1043.43203592706
394318,10900,2015-04,1044.5467259801258
394318,10900,2015-05,1046.234606949748
394318,10900,2015-06,1056.4631748261354
394318,10900,2015-07,1062.8664325926122
394318,10900,2015-08,1069.314989486963
394318,10900,2015-09,1067.9231363368797
394318,10900,2015-10,1067.6900971474518
394318,10900,2015-11,1062.2683855788814
394318,10900,2015-12,1059.6130423972515
394318,10900,2016-01,1061.9338540137373
394318,10900,2016-02,1069.262663326227
394318,10900,2016-03,1072.3443830712006
394318,10900,2016-04,1072.3303430925096
394318,10900,2016-05,1075.792428788587
394318,10900,2016-06,1081.6344485291559
394318,10900,2016-07,1087.860489044324
394318,10900,2016-08,1089.3712956765673
394318,10900,2016-09,1091.925316457027
394318,10900,2016-10,1088.3969038505113
394318,10900,2016-11,1092.5190769204655
394318,10900,2016-12,1090.9170070085238
394318,10900,2017-01,1096.3721108453267
394318,10900,2017-02,1100.8454109969057
394318,10900,2017-03,1113.815056120143
394318,10900,2017-04,1117.3775778076272
